STA_ID,LONG,LAT,OrigHabCode,Date,THG_Fish,YEAR,SEASON,SUBAREA,HABCODE,Floc_Depth_ft,AFDW_Floc,MEHG_Floc,THG_floc,Tot_Phos_floc,Bulk_Dens_Floc,Soil_Thickness_FT,AFDW_Soil,Bulk_Dens_Soil,PH_soil,SO4_soil,MEHG_soil,THG_soil,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Phos_soil,Wat_Depth_ft,COND_SW,DO_SW,TEMP_SW,PH_SW,TURB_SW,REDOX_SW,Alk_Phos_SW,CHLA_SW,CL_SW,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,SO4_SW,Sol_Reac_Phos_SW,THG_SW,TOC_SW,Tot_Nitrogen_SW,Tot_Phos_SW,REDOX_PW,H2S_PW,Sol_Reac_Phos_PW,MEHG_Peri_AVG,THG_epi_peri
M067,-80.527924,25.792698,B,4/4/1995,72.5,A,D,D,Sawgrass Marsh,,,,,,,4.1,86.77,0.12,,300,2.18,150,,,428.03,1.2,587,1.7,23.39,7.06,0.33,,0.32,,,0.093,,,,2,,1.38,21.93,,51.93,8,,,1.98,
M068,-80.596479,25.76706,A,4/4/1995,148.7,A,D,D,Wet Prairie,,,,,,,2,74.33,0.13,,300,0.39,190,,,442.38,1.7,540,9.47,27.68,7.66,1.7,,1.98,,,,,,,2,,,25.55,,40.77,35,,,2.75,47.33
M075,-80.650993,25.711933,B,4/4/1995,440.8,A,D,E,Sawgrass Marsh,,,,,,,3.7,87.59,0.1,,380,4.69,190,,,616.03,1.1,696,4.36,26.5,7.09,4.09,,1.46,,,1.57,,,,2,,3.43,30,,43.79,99.9,,,,
M076,-80.564073,25.730381,B,4/4/1995,251.4,A,D,E,Sawgrass Marsh,,,,,,,1,36.12,0.21,,190,0.27,72,,,208.76,2,635,5.36,24.85,7.26,2.82,,1.44,,,0.3,,,,2,,2.14,24.96,,40.77,-18,,,9.96,42.81
M080,-80.597327,25.646848,A,4/4/1995,117.2,A,D,E,Wet Prairie,,,,,,,1.1,13.51,0.56,,83,0.15,57,,,128.4,0.9,612,12.66,26.79,8.08,1.03,,2.23,,,0.152,,,,2,,1.57,27.53,,40.61,90.3,,,2.3,26.42
M071,-80.685271,25.747307,B,4/5/1995,67.1,A,D,E,Sawgrass Marsh,,,,,,,0.3,42.31,0.25,,130,0.22,150,,,380.71,2,600,5.87,26.48,7.49,1.03,,0.96,,,0.42,,,,18,,1.99,23.15,,139.09,138.3,,,4.02,63.07
M074,-80.707942,25.707048,A,4/5/1995,189.3,A,D,E,Wet Prairie,,,,,,,0.5,36.62,0.21,,170,0.71,120,,,392.04,2,595,9.5,25.69,7.67,0.51,,1.39,,,0.118,,,,11,,1.34,23.27,,45.11,112,,,1.35,45.35
M078,-80.745558,25.615547,A,4/5/1995,544.7,A,D,E,Wet Prairie,,,,,,,0.9,85.53,0.1,,350,0.74,160,,,394.74,2.1,552,7.52,27.18,7.52,1.9,,2.04,,,0.653,,,,6.4,,2.19,26.46,,37.28,135.5,,,8.63,41.44
M079,-80.652933,25.639345,A,4/5/1995,202.8,A,D,E,Wet Prairie,,,,,,,0.7,33.38,0.25,,150,0.52,100,,,362.26,1.4,672,8.5,26.18,7.63,2.65,,2.12,,,0.347,,,,6.2,,2.38,33.26,,45.8,80.3,,,2.02,64.93
M086,-80.769092,25.574088,B,4/5/1995,176.1,A,D,E,Sawgrass Marsh,,,,,,,4,87.07,0.1,,390,4.42,200,,,637.67,1,568,7.74,26.35,7.08,1.41,,1.44,,,0.385,,,,3.7,,2.34,29.88,,8.37,105,,,,54.73
M087,-80.695445,25.583679,B,4/5/1995,118.8,A,D,E,Sawgrass Marsh,,,,,,,0.8,31.99,0.25,,170,0.59,120,,,358.39,1.2,611,6.62,24.63,7.46,1.25,,1.88,,,0.259,,,,11,,2.39,33.66,,7.98,86.5,,,2.11,36.2
M088,-80.625437,25.596358,B,4/5/1995,204.4,A,D,E,Sawgrass Marsh,,,,,,,0.8,27.31,0.41,,96,0.33,150,,,348.85,0.5,622,6.43,23.89,7.32,1.43,,1.69,,,0.43,,,,2,,2.21,35.57,,7.36,121.7,,,,36.8
