Date,entero_cfu,pH,DO,CONDUCTIVITY,TURBIDITY,WATER_TEMP,AIR_TEMP,RAIN_24hr,RAIN_48hr,RAIN_72hr,BIRDS,HUMANS,WIND_DIRECTION,WIND_SPEED,WAVE_HEIGHT,DOC,UV_254,PAR,RH
6/2/2017,3380,7.2,8.9,370.5,47.6,15.5,15.335,0,0,0,9,0,125,4.51,0.03,4.37,2.68,429.53,53.55
6/3/2017,180,6.4,9.5,265.3,48.6,15.3,18.582,0,0,0,7,0,150,9.82,0.05,2.99,1.75,151.96,73.68
6/4/2017,1040,7.1,10.8,287.8,28.7,15.2,21.694,0.011,0.011,1.82,12,0,150,4.67,0.03,3.08,1.92,385.11,59.44
6/5/2017,320,7.7,11,252.7,12.8,16.2,22.76,0.402,0.413,0.413,25,0,217,6.6,0.15,2.57,1.5,374.08,62.47
6/6/2017,180,7.9,11.6,250.8,17.3,16.8,18.806,0.476,0.878,0.889,10,0,241,4.99,0.53,2.7,1.42,187.81,79.57
6/7/2017,280,7.4,11.4,276.5,11.5,18.4,24.165,4.9,5.376,5.779,27,0,219,5.47,0.03,2.53,1.55,289.52,75.12
6/8/2017,1910,7.4,9.6,286,17.3,18.6,18.805,1.651,6.551,7.027,15,0,62.1,6.92,0.15,2.63,1.57,394.91,79.31
6/9/2017,830,7.3,9.2,267.7,9.2,19.1,23.694,13.049,22.14,24.426,27,0,165,3.22,0.03,2.27,1.58,216.91,75.29
6/10/2017,2950,7.2,9.4,264.5,11.9,20,23.105,13.6,26.649,35.74,15,0,228,5.15,0.08,2.28,1.45,257.05,79.92
6/11/2017,11000,6.8,9.1,289.3,37.4,20.9,21.523,1.344,14.944,27.993,30,0,266,9.01,0.3,2.6,1.56,176.78,86.97
6/12/2017,590,7.4,10.2,275.3,8.7,20.6,20.151,0.042,1.386,14.986,25,0,126,1.93,0.03,2.54,1.56,110.29,63.36
6/13/2017,900,6.9,8.4,271.7,7.5,20,22.363,0.762,0.804,2.148,52,0,234,4.67,0.06,2.4,1.7,253.98,79.56
6/14/2017,660,6.9,8.7,286,14,20.4,22.834,0.011,0.021,0.021,27,2,226,3.06,0.15,2.27,1.56,125.92,79.08
6/15/2017,550,6.5,8.5,287.2,12.7,21.5,25.096,3.186,3.196,3.207,26,2,209,3.06,0.18,2.29,1.58,398.59,63.89
6/16/2017,40500,6.5,11.9,329.7,37.1,20.7,23.031,13.822,17.007,17.018,5,0,213,5.31,0.91,2.33,1.61,204.35,77.11
6/17/2017,1450,6.5,7.6,353.5,21.8,22,20.195,0,13.822,17.007,49,2,189,1.77,0.03,2.41,1.71,428.92,59.48
6/18/2017,360,6.5,8,319,6.2,22.5,19.834,0.254,0.254,14.076,24,0,155,1.61,0.03,2.49,1.68,160.85,56.65
6/19/2017,15700,7.2,10.2,295.8,72.2,18.4,19.126,0.085,0.127,16.034,7,0,186,3.22,0.1,2.85,1.89,345.59,62.49
6/20/2017,840,7.1,8.7,345.5,20.6,19.8,19.213,1.207,1.291,1.334,10,0,231,4.35,0.06,2.54,1.52,217.83,77.8
6/21/2017,8000,7.5,10.8,419,29.9,21,19.233,2.656,3.863,3.948,25,0,317,5.79,0.41,2.76,1.48,155.02,79.43
6/22/2017,160,7.1,12.1,359.2,10.8,20.2,20.206,0,0.032,0.032,26,2,155,1.45,0.03,3.29,2.33,384.19,54.04
6/23/2017,280,7.1,10.8,360.7,10.4,20.5,21.959,0.011,0.011,0.042,47,0,174,1.29,0.03,3.53,2.35,261.64,62.93
6/24/2017,750,7.3,10,385.7,15,20.8,23.228,6.064,6.075,6.075,59,0,198,4.51,0.1,3.27,2.35,313.73,70.78
6/25/2017,1180,7.5,12.4,381,38.1,20.1,18.42,0.011,6.075,6.085,25,0,23,7.56,0.61,3.17,2.26,161.76,79.95
6/26/2017,20100,7.2,10.6,441.2,20.1,20.2,19.798,8.308,8.319,14.383,55,0,131,2.9,0.08,3.7,2.58,108.15,85.76
6/27/2017,6100,6.8,12.5,478.8,9.3,21,22.259,3.366,5.662,5.662,55,0,161,1.29,0.03,3.07,2.24,342.83,76.21
6/28/2017,490,6.9,11.7,448,9.4,20.8,23.035,0.455,3.821,6.117,0,8,190,3.86,0.1,2.92,2.03,254.29,70.98
6/29/2017,5200,6.5,11.6,355,58.1,21.2,18.983,0.18,0.635,4.001,65,5,17,16.09,0.91,2.78,1.98,84.25,79.34
6/30/2017,110,7.1,10.8,383.2,13.8,20.2,19.29,0,0.18,0.635,100,2,112,1.61,0.08,2.84,2,254.9,51.39
7/1/2017,510,6.6,10,395.8,11.1,22.8,26.898,1.905,1.905,2.032,70,110,196,2.9,0.1,2.58,1.74,251.53,71.31
7/2/2017,220,7.1,9.3,425.7,10.9,22.5,23.798,0,1.905,1.905,50,2,308,5.63,0.15,2.57,1.65,244.18,68.3
7/3/2017,360,7,10.4,409.5,5.7,23.5,23.003,0.116,0.116,2.021,65,2,259,4.35,0.15,2.4,1.56,178,80.25
7/4/2017,300,7.1,10.3,351.3,15.5,23,21.728,0,0.116,0.116,60,1,41,9.5,0.71,2.38,1.53,223.04,54.34
7/5/2017,90,6.8,9,378,5.2,23.1,21.513,0,0,0.116,50,2,162,2.25,0.03,2.34,1.55,170.96,57.72
7/6/2017,760,6.5,8.8,387.5,7.1,24.2,23.896,0.233,0.233,0.233,80,0,219,1.13,0.1,2.23,1.52,190.87,84.33
7/7/2017,340,6.6,8.8,364,4.8,23.2,23.7,0,0.233,0.233,75,1,170,1.77,0.03,2.5,1.61,148.28,78.27
7/8/2017,420,6.7,8.2,460,5.1,24,24.877,0,0,0.233,60,3,173,1.29,0.06,2.72,1.82,150.43,61.08
7/9/2017,470,6.9,10.1,371,4.7,23,25.946,0.127,0.127,0.127,70,1,155,4.67,0.06,2.53,1.53,144,55.4
7/10/2017,1220,7,10.1,351,16.9,24,25.159,0,0.127,0.127,55,2,235,4.67,0.76,2.44,1.58,179.53,69.97
7/11/2017,340,6.8,11.3,427.5,12.1,23.1,25.933,0,0,0.085,60,2,231,4.51,0.3,2.59,1.56,140.93,60.7
7/12/2017,970,7,10.5,407,11.6,23.6,21.967,8.297,8.297,8.297,80,0,175,3.22,0.12,2.54,1.52,224.26,64.21
7/13/2017,220,7.1,10.8,350.2,20.7,23.9,23.199,0,8.297,8.297,40,1,201,2.57,0.76,2.45,1.46,120.1,56.53
7/14/2017,260,6.8,8.2,313,15.7,23.5,22.005,0,0,8.297,80,1,293,11.91,0.81,2.43,1.51,79.96,57.27
7/15/2017,220,6.9,8.1,322,5.3,23.8,20.145,0,0,0,60,0,159,2.9,0.08,2.5,1.49,234.07,54.87
7/16/2017,660,6.7,7.8,431.5,12.9,24.2,22.963,0,0,0,100,0,193,1.61,0.2,2.95,1.76,196.08,63.51
7/17/2017,160,6.7,10.2,394.3,7.1,23.9,24.613,3.81,3.81,3.81,120,0,171,1.77,0.06,2.7,1.57,242.03,65.03
7/18/2017,2350,6.6,13.9,328.8,19.8,23.9,22.247,0.011,3.821,3.821,105,0,348,11.43,0.46,2.6,1.47,133.58,74.5
7/19/2017,100,6.6,8.5,297.2,15.5,23.3,20.882,0,0.011,3.821,85,0,265,9.98,0.41,2.48,1.37,155.33,72.84
7/20/2017,260,6.8,8.7,276.5,15,25.5,22.001,0,0,0.011,10,0,218,6.76,0.26,2.49,1.44,231.62,61.72
7/21/2017,40,7,8.5,285.8,4.5,25,24.173,0,0.423,0.815,170,2,171,1.93,0.03,2.47,1.37,92.52,65.08
7/22/2017,100,6.4,8.8,285.3,5.9,25.4,25.287,0.106,0.106,0.529,120,1,188,2.09,0.1,2.52,1.37,136.34,64.08
7/23/2017,900,6.7,8.3,297,10.4,25.2,24.363,2.667,2.773,2.773,50,16,175,1.93,0.12,2.59,1.42,212.62,65.01
7/24/2017,350,7.9,7.9,311.5,4.9,24.5,25.708,0.455,3.122,3.228,95,0,156,4.18,0,2.62,1.43,157.78,72.6
7/25/2017,1080,7.5,8,345.2,5.4,24,23.273,0.656,1.111,3.778,110,0,248,7.24,0.3,2.8,1.62,123.47,75.28
7/26/2017,460,8.1,7.3,419.2,8.3,22.5,22.242,1.037,1.037,1.037,85,1,156,5.47,0,3.05,1.72,103.25,58.66
7/27/2017,1080,8.2,8,354.8,50.2,23,21.033,0.212,1.249,1.249,100,3,215,4.02,0.76,2.96,1.53,195.16,62.02
7/28/2017,740,8.2,8.1,331.8,51,22.3,17.827,0.773,0.984,2.021,75,1,234,6.6,0.71,2.82,1.44,178.31,56.25
7/29/2017,880,8.2,8.1,296.5,24.2,21.3,16.146,0.751,1.524,1.736,120,1,223,4.67,0.46,2.67,1.38,88.54,80.92
7/30/2017,520,8.3,8.2,283.2,11.2,21,17.997,0.106,0.857,1.63,120,0,130,5.95,0.46,2.6,1.35,194.24,71.09
7/31/2017,420,8.3,7.4,337.3,8.1,22.1,22.794,6.625,8.287,8.287,100,0,255,1.93,0,2.81,1.37,77.51,86.83
8/1/2017,2500,8.3,7.8,338.2,8,22,23.356,0,6.625,8.287,110,2,207,2.57,0.08,2.77,1.4,134.5,73.71
8/2/2017,3320,8.4,7.6,317.7,5.6,22.6,24.105,0,0,6.625,115,0,164,0.97,0.03,2.62,1.29,122.24,72.22
8/3/2017,1250,8.4,7.5,333,18.9,22.7,24.848,0,0,0,36,0,204,3.38,0.06,2.79,1.35,114.28,71.04
8/4/2017,1100,8.5,7.5,309.2,17.7,24.6,24.685,1.228,1.228,1.228,205,0,230,3.7,0.1,2.63,1.25,149.82,73.58
