Date,entero_geomean,priordry,Rain_Prev1,Rain_Prev4,Rain_Prev7,watertemp,tidediff,groundwaterheight,windspeed,wind_deg,time_to_low,ground_ind,windA,windO,huntflow,huntheight
5/26/2015,23.3,7,0,0.03,0.03,60.4,3.3,5.7,9,180,0.022222222,1,-5.51E-16,9,17.3,1.1
5/28/2015,12.6,9,0,0,0.03,62.8,3.2,5.706666667,12,180,0.034722222,1,-7.35E-16,12,14.9,1.08
6/1/2015,269.2,0,3.47,3.47,3.47,67.8,4.6,5.653333333,12,67.5,0.188888889,1,-11.09,-4.592,63.8,1.43
6/3/2015,21.3,0,0.35,3.82,3.82,59.9,5.1,5.626666667,12,22.5,0.220138889,1,-4.592,-11.09,50.1,1.35
6/8/2015,234.8,5,0,0,0.64,61,5,5.56,8,157.5,0.136805556,1,-3.061,7.391,17.3,1.1
6/10/2015,16,7,0,0,0,67.4,5.3,5.533333333,11,202.5,0.063194444,1,4.21,10.16,14.9,1.08
6/15/2015,69.7,12,1.32,1.32,1.32,67.5,5.4,5.466666667,7,202.5,0.084027778,1,2.679,6.467,10.9,1.04
6/17/2015,10,1,0,1.32,1.32,68.2,5.4,5.44,6,337.5,0.238888889,1,2.296,-5.543,31.1,1.22
6/22/2015,14.6,0,1.19,1.27,2.59,69.8,3.8,5.373333333,8,202.5,0.163194444,1,3.061,7.391,38.9,1.28
6/24/2015,10,2,0.04,1.31,1.31,73.6,3.5,5.392058824,10,202.5,0.059722222,1,3.827,9.239,26,1.18
6/29/2015,60.5,0,1.77,2.08,2.12,67.4,4.1,5.552352941,11,22.5,0.109722222,1,-4.21,-10.16,114,1.7
7/1/2015,292.1,2,0.7,2.77,2.78,70,5.1,5.616470588,6,180,0.158333333,1,-3.67E-16,6,48.4,1.33
7/9/2015,14.4,0,0.36,0.37,0.37,74.3,4.7,5.872941176,7,247.5,0.050694444,1,6.467,2.679,35,1.23
7/13/2015,611,2,0,0.16,0.53,74.8,4.7,6.001176471,8,247.5,0.115277778,1,7.391,3.061,16.1,1.07
7/15/2015,26.6,0,0.51,0.51,1.03,76.3,5,6.065294118,6,135,0.143055556,1,-4.243,4.243,19.6,1.1
7/20/2015,14.6,4,0,0,0.51,75.7,4.4,6.225588235,7,202.5,0.152083333,1,2.679,6.467,20.5,1.1
7/22/2015,12.6,6,0,0,0.09,77.5,3.9,6.289705882,6,225,0.113888889,1,4.243,4.243,14.9,1.05
7/27/2015,82.6,0,0.49,0.52,0.52,72.7,3.5,6.45,10,157.5,0.059722222,1,-3.827,9.239,37.6,1.24
7/29/2015,10,1,0,0.49,0.52,76,4.8,6.681333333,5,180,0.129861111,1,-3.06E-16,5,26,1.15
8/3/2015,18.2,3,0,0.08,0.52,76,6.8,7.259666667,8,247.5,0.209027778,1,7.391,3.061,9.06,0.97
8/5/2015,23.1,0,1.08,1.08,1.16,76.8,6.2,7.491,8,225,0.149305556,1,5.657,5.657,31.1,1.18
8/11/2015,139.9,6,0.99,0.99,2.07,73.2,4.3,8.185,8,202.5,0.086805556,1,3.061,7.391,7.98,0.93
8/13/2015,10,1,0,0.99,0.99,74.1,4.7,8.416333333,7,270,0.195138889,1,7,8.57E-16,22.6,1.11
8/17/2015,10,5,0,0,0.99,77.5,4.9,8.879,6,270,0.208333333,1,6,7.35E-16,8.24,0.93
8/19/2015,10,7,0,0,0,77,4.4,9.110333333,8,180,0.155555556,1,-4.90E-16,8,6.63,0.85
8/25/2015,39.3,13,0.68,0.71,0.71,76.8,3.5,9.804333333,6,135,0.026388889,1,-4.243,4.243,6.34,0.83
8/26/2015,120,0,0.68,0.68,0.71,77.2,4.3,9.92,8,157.5,0.052777778,1,-3.061,7.391,20.5,1.08
8/31/2015,133.5,5,0,0,0.68,75.9,7.5,10.30571429,8,247.5,0.246527778,0,7.391,3.061,5.12,0.73
9/2/2015,10,7,0,0,0,74.7,6.9,10.46,6,225,0.202777778,0,4.243,4.243,4.69,0.68
5/31/2016,554.8,0,1.5,1.5,1.67,70.2,4.8,5.858064516,8,225,0.051388889,1,5.657,5.657,60.6,1.41
6/1/2016,12.6,1,0,1.5,1.5,70,5.2,5.922580645,9,45,0.113194444,1,-6.364,-6.364,33.7,1.24
6/6/2016,45.7,0,0.58,0.59,2.09,69,6.1,6.24516129,10,247.5,0.151388889,1,9.239,3.827,33.7,1.24
6/8/2016,35.8,2,0.03,0.61,0.62,65,5.1,6.374193548,12,270,0.23125,1,12,1.47E-15,18.6,1.11
6/13/2016,10,1,0,0.14,0.17,67.3,3.6,6.696774194,14,315,0.084722222,1,9.899,-9.899,19.6,1.12
6/15/2016,10,3,0,0.14,0.17,68.4,3.2,6.825806452,9,292.5,0.010416667,1,8.315,-3.444,13.8,1.07
6/20/2016,88.2,8,0,0,0,69.2,4.5,7.148387097,1,202.5,0.270138889,1,0.3827,0.9239,9.35,1.01
6/22/2016,385.6,0,0.08,0.08,0.08,72.2,4.6,7.277419355,3,315,0.177083333,1,2.121,-2.121,19.6,1.1
6/27/2016,230.3,5,0,0,0.08,70.8,5.1,7.6,2,202.5,0.030555556,1,0.7654,1.848,8.78,0.97
6/29/2016,46.6,0,0.21,0.21,0.21,68.7,5.6,7.848571429,0,202.5,0.070138889,1,0,0,14.9,1.04
6/30/2016,37.4,1,0.04,0.21,0.21,73,4.9,7.972857143,3,292.5,0.104861111,1,2.772,-1.148,10.9,1
